,Count
Salix.arctica,27
Micranthes.nelsoniana.ssp.nelsoniana,23
Cardamine.bellidifolia,22
Arctanthemum.arcticum.ssp.polare,21
Carex.microchaeta.ssp.nesophila,21
Claytonia.sarmentosa,21
Luzula.kjellmaniana,20
Polemonium.acutiflorum,20
Salix.phlebophylla,20
Cerastium.beeringianum,19
Pedicularis.verticillata,19
Potentilla.hyparctica,19
Salix.ovalifolia.var.ovalifolia,19
Salix.pulchra,19
Caltha.palustris.ssp.radicans,18
Carex.aquatilis,18
Micranthes.hieraciifolia.ssp.longifolia,18
Micranthes.nudicaulis,18
Parrya.nudicaulis,18
Pedicularis.oederi,18
Arctagrostis.latifolia,17
Artemisia.arctica.ssp.arctica,17
Cassiope.tetragona,17
Cochlearia.groenlandica,17
Gentiana.glauca,17
Rhodiola.integrifolia.ssp.integrifolia,17
Saxifraga.hirculus.ssp.propinqua,17
Aconitum.delphinifolium.ssp.delphinifolium,16
Anemone.sibirica,16
Artemisia.glomerata,15
Luzula.arcuata,15
Minuartia.macrocarpa,15
Pedicularis.capitata,15
Pedicularis.langsdorffii.ssp.langsdorfii,15
Primula.borealis,15
Primula.pumila,15
Trisetum.spicatum,15
Diapensia.obovata,14
Oxyria.digyna,14
Oxytropis.bryophila,14
Petasites.frigidus.ssp.frigidus,14
Rubus.chamaemorus,14
Tephroseris.atropurpurea,14
Artemisia.tilesii,13
Empetrum.nigrum,13
Lagotis.glauca,13
Lloydia.serotina,13
Pedicularis.lanata,13
Pedicularis.pennellii,13
Poa.arctica.ssp.arctica,13
Silene.acaulis,13
Valeriana.capitata,13
Androsace.chamaejasme.ssp.andersonii,12
Chrysosplenium.tetrandrum,12
Huperzia.arctica,12
Luzula.confusa,12
Micranthes.foliolosa,12
Ranunculus.nivalis,12
Ranunculus.pygmaeus,12
Rumex.arcticus,12
Sagina.nivalis,12
Salix.polaris,12
Salix.reticulata,12
Saxifraga.cernua,12
Saxifraga.rivularis.ssp.artolitoralis,12
Tephroseris.kjellmanii,12
Bistorta.vivipara,11
Claytonia.eschscholtzii,11
Deschampsia.anadyrensis,11
Douglasia.ochotensis,11
Dupontia.fisheri,11
Mertensia.maritima,11
Primula.tschuktschorum,11
Salix.fuscescens,11
Carex.glareosa.ssp.glareosa,10
Chamaepericlymenum.suecicum,10
Eriophorum.medium.ssp.album,10
Eriophorum.triste,10
Eritrichium.aretioides.var.chamissonis,10
Hierochloe.alpina,10
Leymus.mollis.ssp.villosissimus,10
Luzula.wahlenbergii,10
Parnassia.kotzebuei,10
Pedicularis.interior,10
Saussurea.angustifolia.var.viscida,10
Senecio.pseudoarnica,10
Silene.uralensis.ssp.uralensis,10
Stellaria.humifusa,10
Vaccinium.vitis-idaea,10
Alopecurus.magellanicus,9
Cardamine.polemonioides,9
Cardamine.purpurea,9
Draba.lactea,9
Equisetum.arvense,9
Eutrema.edwardsii,9
Festuca.brachyphylla,9
Pedicularis.albolabiata,9
Phippsia.algida,9
Rhododendron.tomentosum.ssp.decumbens,9
Anemone.richardsonii,8
Arnica.lessingii,8
Calamagrostis.deschampsioides,8
Coptidium.pallasii,8
Draba.borealis,8
Honckenya.peploides,8
Juncus.biglumis,8
Minuartia.arctica,8
Packera.heterophylla,8
Papaver.macounii,8
Salix.chamissonis,8
Salix.rotundifolia,8
Tephroseris.palustris.ssp.congesta,8
Arctophila.fulva,7
Astragalus.umbellatus,7
Carex.lachenalii,7
Draba.juvenilis,7
Dryas.incisa,7
Dryas.punctata.ssp.alaskensis,7
Koenigia.islandica,7
Poa.paucispicula,7
Ranunculus.camissonis,7
Ranunculus.hyperboreus,7
Saxifraga.bracteata,7
Saxifraga.funstonii,7
Solidago.multiradiata,7
Stellaria.longipes,7
Taraxacum.alaskanum,7
Wilhelmsia.physodes,7
Antennaria.monocephala.ssp.monocephala,6
Arctous.alpina,6
Calamagrostis.neglecta.ssp.neglecta,6
Carex.podocarpa,6
Chamerion.latifolium,6
Comarum.palustre,6
Corydalis.arctica,6
Diphasiastrum.alpinum,6
Eriophorum.angustifolium,6
Eriophorum.russeolum.ssp.leiocarpum,6
Geum.glaciale,6
Hierochloe.pauciflora,6
Hippuris.lanceolata,6
Juncus.leucochlamys,6
Kalmia.procumbens,6
Lathyrus.japonicus,6
Micranthes.calycina,6
Papaver.gorodkovii,6
Poa.malacantha,6
Podistera.macounii,6
Rubus.arcticus,6
Silene.soczavana,6
Tephroseris.frigida,6
Angelica.gmelinii,5
Betula.nana.ssp.exilis,5
Calamagrostis.canadensis,5
Chrysosplenium.wrightii,5
Deschampsia.sukatschewii.ssp.orientalis,5
Epilobium.anagallidifolium,5
Gentiana.algida,5
Lycopodium.clavatum,5
Myosotis.alpestris.ssp.asiatica,5
Potentilla.villosa,5
Taraxacum.ceratophorum,5
Artemisia.globularia,4
Astragalus.alpinus,4
Carex.fuliginosa.ssp.misandra,4
Carex.membranacea,4
Carex.micropoda,4
Carex.saxatilis,4
Carex.subspathacea,4
Conioselinum.pacificum,4
Equisetum.scirpoides,4
Hippuris.vulgaris,4
Montia.fontana.ssp.fontana,4
Phyllodoce.caerulea,4
Potentilla.anserina.ssp.groenlandica,4
Ranunculus.sulphureus,4
Ranunculus.turneri.ssp.turneri,4
Saxifraga.eschscholtzii,4
Saxifraga.setigera,4
Silene.involucrata.ssp.furcata,4
Stellaria.crassifolia,4
Viola.epipsila.ssp.repens,4
Arctopoa.eminens,3
Artemisia.furcata,3
Bistorta.plumosa,3
Cardamine.blaisdellii,3
Carex.livida,3
Claytonia.arctica,3
Draba.alpina,3
Draba.glabella,3
Dryopteris.fragrans,3
Epilobium.palustre,3
Eriophorum.callitrix,3
Hedysarum.americanum,3
Luzula.multiflora.ssp.frigida,3
Minuartia.obtusiloba,3
Oxytropis.gorodkovii,3
Oxytropis.maydelliana,3
Poa.pratensis.ssp.alpigena,3
Potentilla.fragiformis,3
Puccinellia.alaskana,3
Salix.ovalifolia.var.cyclophylla,3
Sparganium.hyperboreum,3
Thalictrum.alpinum,3
Viola.biflora,3
Andromeda.polifolia,2
Armeria.scabra,2
Artemisia.arctica.ssp.beringensis,2
Artemisia.borealis,2
